mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0121673583984375,0.0018015980095402646,0.008876752853393555,0.003499472608568917,1.1462107403425035,balanced,1000,lbfgs,"{'C': np.float64(1.1462107403425035), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9147157190635451,0.8973063973063974,0.8741258741258742,0.9038461538461539,0.8881118881118881,0.8956212064907717,0.013809628622584521,14,0.9205627705627706,0.9199438202247191,0.9264847512038523,0.9218833600856073,0.91856607811664,0.9214881560387178,0.0027166891707043296
0.01075916290283203,0.0022897623688312324,0.007331037521362304,0.0018800819356537123,0.028888383623653185,balanced,1000,liblinear,"{'C': np.float64(0.028888383623653185), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'liblinear'}",0.9264214046822743,0.898989898989899,0.8741258741258742,0.9055944055944056,0.8986013986013986,0.9007465963987704,0.016727508769083476,1,0.9106060606060606,0.9130293863439931,0.919422150882825,0.9132156233279829,0.9146067415730337,0.9141759925467792,0.002921956566840899
0.013231182098388672,0.007094591833866551,0.010648727416992188,0.005030471607109484,0.19069966103000435,,1000,lbfgs,"{'C': np.float64(0.19069966103000435), 'class_weight': None, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9197324414715718,0.898989898989899,0.8741258741258742,0.9108391608391608,0.8933566433566433,0.8994088037566298,0.015618796179135428,5,0.9189393939393941,0.9173509075194469,0.9246655965757089,0.9204922418405564,0.917817014446228,0.9198530308642668,0.0026385638486443545
0.010497283935546876,0.0022050045913889482,0.006925201416015625,0.0012514410809775244,0.009962513222055111,,1000,lbfgs,"{'C': np.float64(0.009962513222055111), 'class_weight': None, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9364548494983278,0.8939393939393939,0.8706293706293706,0.9003496503496504,0.8863636363636364,0.8975473801560758,0.02183720135681567,9,0.902056277056277,0.9077355229040622,0.9142857142857143,0.9061530230069555,0.9105403959336544,0.9081541866373328,0.004114706856254789
0.007311534881591797,0.0008334155758752941,0.007610750198364258,0.0019470011878599982,0.9163741808778786,,1000,liblinear,"{'C': np.float64(0.9163741808778786), 'class_weight': None, 'max_iter': 1000, 'solver': 'liblinear'}",0.9163879598662207,0.898989898989899,0.8758741258741258,0.9073426573426573,0.8881118881118881,0.8973413060369582,0.014223514953311383,10,0.9199134199134199,0.918647363872083,0.9253076511503477,0.9207062600321027,0.9187800963081862,0.9206709582552278,0.0024390295073524735
0.007462120056152344,0.001522925936348515,0.008726549148559571,0.0019462693267670915,1.0907475835157696,,1000,liblinear,"{'C': np.float64(1.0907475835157696), 'class_weight': None, 'max_iter': 1000, 'solver': 'liblinear'}",0.9147157190635451,0.8973063973063974,0.8723776223776224,0.9073426573426573,0.8881118881118881,0.8959708568404221,0.014838298262640983,11,0.9202380952380953,0.918647363872083,0.9256286784376672,0.9208132691278759,0.918673087212413,0.9208000987776268,0.0025608455143575873
0.008070993423461913,0.003094100037245297,0.010724925994873047,0.0039682725522415235,0.0021147447960615704,balanced,1000,liblinear,"{'C': np.float64(0.0021147447960615704), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'liblinear'}",0.9381270903010033,0.8905723905723906,0.8653846153846154,0.9073426573426574,0.8776223776223776,0.8958098262446089,0.02532849978201123,13,0.8924242424242425,0.9035220397579948,0.9091492776886035,0.8974852862493312,0.9045478865703585,0.901425746538106,0.005836941676541997
0.012322950363159179,0.0026877224666815728,0.006952047348022461,0.0011462848908093779,67.32248920775338,balanced,1000,lbfgs,"{'C': np.float64(67.32248920775338), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9147157190635451,0.898989898989899,0.8706293706293706,0.9055944055944056,0.8846153846153846,0.894908955778521,0.015611512863247154,16,0.9211038961038962,0.9210242005185826,0.9261637239165329,0.9220973782771535,0.918673087212413,0.9218124572057157,0.0024492347131414806
0.010875654220581055,0.0036243455376875687,0.009255695343017577,0.002611947669752849,0.03334792728637585,,1000,lbfgs,"{'C': np.float64(0.03334792728637585), 'class_weight': None, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9264214046822743,0.898989898989899,0.8723776223776224,0.9055944055944056,0.8968531468531469,0.9000472956994695,0.01733952449875702,3,0.9109307359307359,0.9132454624027657,0.9196361690743714,0.9135366506153023,0.9151417870518994,0.914498161015015,0.0028994364654945405
0.012530279159545899,0.0022982378460822224,0.0082855224609375,0.0018398954318300455,2.6373339933815254,,1000,lbfgs,"{'C': np.float64(2.6373339933815254), 'class_weight': None, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9130434782608695,0.8973063973063974,0.8706293706293706,0.9073426573426573,0.8828671328671329,0.8942378072812854,0.01562982481441019,19,0.9208874458874459,0.9194036300777875,0.9259497057249867,0.9219903691813804,0.9188871054039593,0.9214236512551119,0.002514295323957788
